date,teacher,genre,song,city,venue
2023-02-26,性感,KPOP/MV,ttt,上海,BOUNCE曲阳
2023-02-26,性感,KPOP/MV,nxde,上海,BOUNCE曲阳
2023-03-11,nina,KPOP/MV,moonlight sunrise,上海,BOUNCE曲阳
2023-03-11,jop,HIPHOP,,上海,BOUNCE曲阳
2023-03-31,蓝蓝,JAZZ,,上海,BOUNCE曲阳
2023-04-09,性感,JAZZ,,上海,BOUNCE曲阳
2023-05-07,性感,JAZZ,,上海,BOUNCE曲阳
2023-07-05,,JAZZ,,上海,BOUNCE曲阳
2023-07-07,童童,JAZZ,,上海,BOUNCE曲阳
2023-07-08,雪雪子,JAZZ,,上海,BOUNCE曲阳
2023-07-09,性感,JAZZ,,上海,BOUNCE曲阳
2023-07-09,性感,JAZZ,,上海,BOUNCE曲阳
2023-07-10,性感,JAZZ,,上海,BOUNCE曲阳
2023-07-10,性感,JAZZ,,上海,BOUNCE曲阳
2023-08-13,性感,JAZZ,,上海,BOUNCE曲阳
2023-08-13,lexie,KPOP/MV,queen card,上海,BOUNCE曲阳
2023-08-14,性感,KPOP/MV,left right,上海,BOUNCE曲阳
2023-08-14,性感,KPOP/MV,left right,上海,BOUNCE曲阳
2023-08-18,童童,JAZZ,,上海,BOUNCE曲阳
2023-08-18,蓝蓝,JAZZ,,上海,BOUNCE曲阳
2023-08-20,lexie,JAZZ,,上海,BOUNCE曲阳
2023-08-20,性感,JAZZ,,上海,BOUNCE曲阳
2023-08-25,童童,JAZZ,,上海,BOUNCE曲阳
2023-08-25,可可,HIPHOP,,上海,BOUNCE曲阳
2023-08-27,性感,JAZZ,,上海,BOUNCE曲阳
2023-08-29,babe,KPOP/MV,gee,上海,BOUNCE曲阳
2023-08-30,空空,KPOP/MV,new dance,上海,BOUNCE曲阳
2023-09-01,可可,HIPHOP,,上海,BOUNCE曲阳
2023-09-03,yuki,KPOP/MV,bubble,上海,BOUNCE曲阳
2023-09-03,性感,JAZZ,,上海,BOUNCE曲阳
2023-09-03,lexie,JAZZ,,上海,BOUNCE曲阳
2023-09-06,星星,HIPHOP,,上海,BOUNCE曲阳
2023-09-06,空空,JAZZ,,上海,BOUNCE曲阳
2023-09-07,童童,KPOP/MV,slay,上海,BOUNCE曲阳
2023-09-07,童童,JAZZ,,上海,BOUNCE曲阳
2023-09-10,yuki,KPOP/MV,new dance,上海,BOUNCE曲阳
2023-09-10,性感,JAZZ,,上海,BOUNCE曲阳
2023-09-10,lexie,JAZZ,,上海,BOUNCE曲阳
2023-09-13,kako,JAZZ,,上海,BOUNCE曲阳
2023-09-13,星星,HIPHOP,,上海,BOUNCE曲阳
2023-09-15,lulu,HIPHOP,,上海,BOUNCE曲阳
2023-09-20,kako,JAZZ,,上海,BOUNCE曲阳
2023-09-20,星星,HIPHOP,,上海,BOUNCE曲阳
2023-09-24,lexie,JAZZ,,上海,BOUNCE曲阳
2023-09-24,性感,JAZZ,,上海,BOUNCE曲阳
2023-09-27,kako,JAZZ,,上海,BOUNCE曲阳
2023-09-27,星星,HIPHOP,,上海,BOUNCE曲阳
2023-10-01,lulu,KPOP/MV,go hard,上海,BOUNCE曲阳
2023-10-01,lexie,JAZZ,,上海,BOUNCE曲阳
2023-10-01,性感,JAZZ,,上海,BOUNCE曲阳
2023-10-04,kako,JAZZ,,上海,BOUNCE曲阳
2023-10-11,空空,KPOP/MV,puppet show,上海,BOUNCE曲阳
2023-10-14,可可,HIPHOP,,上海,BOUNCE曲阳
2023-10-15,lexie,JAZZ,,上海,BOUNCE曲阳
2023-10-18,kako,JAZZ,,上海,BOUNCE曲阳
2023-10-18,星星,HIPHOP,,上海,BOUNCE曲阳
2023-10-20,可可,HIPHOP,,上海,BOUNCE曲阳
2023-10-25,星星,HIPHOP,,上海,BOUNCE曲阳
2023-10-25,kako,JAZZ,,上海,BOUNCE曲阳
2023-10-27,可可,HIPHOP,,上海,BOUNCE曲阳
2023-11-01,温暖,HIPHOP,,上海,BOUNCE曲阳
2023-11-01,空空,JAZZ,,上海,BOUNCE曲阳
2023-11-05,性感,JAZZ,,上海,BOUNCE曲阳
2023-11-05,aici,JAZZ,,上海,BOUNCE曲阳
2023-11-05,性感,KPOP/MV,new dance,上海,BOUNCE曲阳
2023-11-10,可可,HIPHOP,,上海,BOUNCE曲阳
2023-11-12,性感,JAZZ,,上海,BOUNCE曲阳
2023-11-12,lexie,JAZZ,,上海,BOUNCE曲阳
2023-11-15,星星,KPOP/MV,seven,上海,BOUNCE曲阳
2023-11-15,星星,HIPHOP,,上海,BOUNCE曲阳
2023-11-15,kako,JAZZ,,上海,BOUNCE曲阳
2023-11-17,可可,HIPHOP,,上海,BOUNCE曲阳
2023-11-19,lexie,KPOP/MV,lexie 性感,上海,BOUNCE曲阳
2023-11-19,性感,KPOP/MV,lexie 性感,上海,BOUNCE曲阳
2023-11-22,kako,JAZZ,,上海,BOUNCE曲阳
2023-11-22,星星,HIPHOP,,上海,BOUNCE曲阳
2023-11-24,可可,HIPHOP,,上海,BOUNCE曲阳
2023-11-26,性感,KPOP/MV,what is love,上海,BOUNCE曲阳
2023-11-29,星星,HIPHOP,,上海,BOUNCE曲阳
2023-11-30,童童,KPOP/MV,drama,上海,BOUNCE曲阳
2023-12-05,,KPOP/MV,perfect night,上海,BOUNCE曲阳
2023-12-06,kako,JAZZ,,上海,BOUNCE曲阳
2023-12-06,星星,HIPHOP,,上海,BOUNCE曲阳
2023-12-08,可可,HIPHOP,,上海,BOUNCE曲阳
2023-12-20,lexie,KPOP/MV,lexie 花生,上海,BOUNCE曲阳
2023-12-20,花生,KPOP/MV,lexie 花生,上海,BOUNCE曲阳
2023-12-22,童童,KPOP/MV,batter up,上海,BOUNCE曲阳
2023-12-23,nina,KPOP/MV,eleven,上海,BOUNCE曲阳
2023-12-23,小玉,HIPHOP,,上海,BOUNCE曲阳
2023-12-24,性感,KPOP/MV,new dance 小way,上海,BOUNCE曲阳
2023-12-24,lexie,JAZZ,,上海,BOUNCE曲阳
2023-12-25,小玉,HIPHOP,,上海,BOUNCE曲阳
2023-12-26,babe,KPOP/MV,dreams come true,上海,BOUNCE曲阳
2023-12-26,babe,KPOP/MV,呱呱,上海,BOUNCE曲阳
2023-12-30,nina,KPOP/MV,shooting star,上海,BOUNCE曲阳
2024-02-26,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-02-29,童童,KPOP/MV,easy,上海,BOUNCE曲阳
2024-03-01,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-03-03,yuki,KPOP/MV,one spark,上海,BOUNCE曲阳
2024-03-06,kako,JAZZ,,上海,BOUNCE曲阳
2024-03-06,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-03-08,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-03-09,菲菲,KPOP/MV,diamond,上海,BOUNCE曲阳
2024-03-09,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-03-13,kako,JAZZ,,上海,BOUNCE曲阳
2024-03-13,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-03-15,可可,HIPHOP,,上海,BOUNCE曲阳
2024-03-16,nina,KPOP/MV,love dive,上海,BOUNCE曲阳
2024-03-16,花生,KPOP/MV,love119,上海,BOUNCE曲阳
2024-03-20,kako,JAZZ,,上海,BOUNCE曲阳
2024-03-20,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-03-21,童童,KPOP/MV,pop,上海,BOUNCE曲阳
2024-03-22,十一,HIPHOP,,上海,BOUNCE曲阳
2024-03-23,花生,HIPHOP,,上海,BOUNCE曲阳
2024-03-23,nina,KPOP/MV,再逢世,上海,BOUNCE曲阳
2024-03-27,kako,JAZZ,,上海,BOUNCE曲阳
2024-03-27,可可,HIPHOP,,上海,BOUNCE曲阳
2024-04-04,童童,KPOP/MV,magnetic,上海,BOUNCE曲阳
2024-04-05,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-04-06,nina,KPOP/MV,midas touch,上海,BOUNCE曲阳
2024-04-06,童童,KPOP/MV,diamond,上海,BOUNCE曲阳
2024-04-07,俊腾,CHOREO,,上海,BOUNCE曲阳
2024-04-10,可可,HIPHOP,,上海,BOUNCE曲阳
2024-04-10,kako,JAZZ,,上海,BOUNCE曲阳
2024-04-12,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-04-13,菲菲,KPOP/MV,generation,上海,BOUNCE曲阳
2024-04-13,菲菲,KPOP/MV,deja vu,上海,BOUNCE曲阳
2024-04-17,kako,JAZZ,,上海,BOUNCE曲阳
2024-04-17,可可,HIPHOP,,上海,BOUNCE曲阳
2024-04-20,花生,HIPHOP,,上海,BOUNCE曲阳
2024-04-20,菲菲,KPOP/MV,fiesta,上海,BOUNCE曲阳
2024-04-24,七七,JAZZ,,上海,ACS静安
2024-04-24,mico,HIPHOP,,上海,ACS静安
2024-04-29,性感,JAZZ,,上海,BOUNCE曲阳
2024-04-29,荔枝,KPOP/MV,yes or yes,上海,BOUNCE曲阳
2024-05-01,空空,KPOP/MV,dance the night away,上海,BOUNCE曲阳
2024-05-01,可可,HIPHOP,,上海,BOUNCE曲阳
2024-05-05,潘潘,KPOP/MV,i ll see u tomorrow,上海,ACS静安
2024-05-05,joho,KPOP/MV,psychic,上海,ACS静安
2024-05-08,kako,JAZZ,,上海,BOUNCE曲阳
2024-05-08,可可,HIPHOP,,上海,BOUNCE曲阳
2024-05-12,lexie,JAZZ,,上海,BOUNCE曲阳
2024-05-12,yuki,KPOP/MV,girls never die,上海,BOUNCE曲阳
2024-05-13,玮玮,KPOP/MV,maestro,上海,ACS静安
2024-05-17,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-05-19,jop,HIPHOP,,上海,BOUNCE曲阳
2024-05-19,cassie,KPOP/MV,easy,上海,BOUNCE曲阳
2024-05-19,菲菲,KPOP/MV,girls never die,上海,BOUNCE曲阳
2024-05-22,kako,JAZZ,,上海,BOUNCE曲阳
2024-05-22,可可,HIPHOP,,上海,BOUNCE曲阳
2024-05-23,zoe,JAZZ,,上海,ACS静安
2024-05-25,花生,HIPHOP,,上海,BOUNCE曲阳
2024-05-26,lexie,JAZZ,,上海,BOUNCE曲阳
2024-05-26,yuki,KPOP/MV,Supernova db,上海,BOUNCE曲阳
2024-05-29,空空,KPOP/MV,new dance 小way,上海,BOUNCE曲阳
2024-05-29,可可,HIPHOP,,上海,BOUNCE曲阳
2024-05-31,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-06-02,yuki,KPOP/MV,how sweet,上海,BOUNCE曲阳
2024-06-07,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-06-08,花生,KPOP/MV,psychic,上海,BOUNCE曲阳
